SHIP'S NAME,VESSEL TYPE,WHERE BUILT,YEAR LOST,LOCATION LOST,LATITUDE,LONGITUDE,CONSTRUCTION,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,SHIP VALUE,CARGO VALUE
Emily E Johnson,Schooner,"Prankatank River, VA",1897,Monmouth Beach LSS N 1.25 mi,40.35986,-73.97181,Wood,95.4,26.7,7.9,121.61,115.53,4000.00,300.00
Emma (1897),Schooner,,1897,Little Egg LSS S 1.5 mi,39.48982,-74.30547,,0,0,0,20,20,1400.00,0.00
Emma C Babcock,Schooner 3 masted,"Goshen, NY",1880,Monmouth Beach N .25 mi,40.34475,-73.97075,Wood,113.5,29.9,9.1,228.28,,16000.00,1200.00
Emma D Blew,Schooner,"Bridgeton, NJ",1879,Long Beach LSS N 1 mi,39.59600,-74.21029,,45.2,18.1,5.4,32,,1500.00,400.00
Emmanuele,Bark,"Procida, Italy",1879,Cape May SE,39.45000,-73.93333,,115.1,27.2,17.9,0,382,0.00,0.00
Enos Soule,Coal barge,"Freeport, ME",1914,Brigantine Shoal,39.38686,-74.37998,,198.4,38,26.9,1386,1317,15000.00,5000.00
Enterprise (1862),Schooner,,1862,New Jersey coast,38.75000,-74.04581,,0,0,0,0,,0.00,0.00
Enterprise (1883),Schooner,,1883,Absecon LSS SW 1.75 mi,39.33257,-74.48543,,0,0,0,22,,1000.00,385.00
Ethelyn,Sloop - Yacht,,1898,Corsons Inlet LSS S 2.5 mi,39.18802,-74.66223,,0,0,0,0,,500.00,0.00
Eugene,Sloop,,1886,Atlantic City LSS N .75 mi,39.37665,-74.41355,,0,0,0,19,,600.00,0.00
Eugene F Moran,Tug steam,"Philadelphia, PA",1917,Absecon,39.34722,-74.35083,,101.8,21.8,8.9,176,,175000.00,0.00
Eutaw,Steamship,,1869,Pecks Beach,39.25278,-74.60134,,0,0,0,399,,0.00,0.00
Evans (1862),Bark,,1862,Great Egg Harbor bar,39.29734,-74.52938,,0,0,0,0,,0.00,0.00
Evans (1935),Lighter,,1935,,42.35000,-70.71388,,0,0,0,0,,0.00,0.00
Evening Star,Tanker,,1942,Cape May Inlet,38.85916,-74.61805,,0,0,0,0,,0.00,0.00
F F Clain (1942),Barge,"Noank, CT",1943,Barnegat Inlet E 9 mi,39.80972,-73.93694,,195,35,17.6,963,876,0.00,0.00
F H Beckwith,Steamship,"Pokomoke City, MD",1937,Cape May,38.88611,-74.85555,,0,0,0,0,,0.00,0.00
F Merwin,Schooner,"West Haven, CT ",1889,Sandy Hook LSS SE 2 mi,40.44737,-73.97850,Wood,125.7,31.5,11.3,340.71,323.67,10000.00,12000.00
Faithful Steward,Frigate,,1785,Indian River Inlet N .75 mi,38.64985,-75.03964,,0,0,0,0,,0.00,0.00
Fall River (1932),Barge,"Bath, ME",1932,Brigantine Gas Buoy,39.32638,-74.22000,,262.4,44.1,19.5,1759,1545,0.00,0.00
Fame (1781),Brig Privateer,,1781,Great Egg Harbor Inlet,39.28416,-74.54166,Wood,0,0,0,0,,0.00,0.00
Fannie E Moffatt,Motor vessel gas,"Camden, NJ",1911,Chadwick LSS S 1 mi,39.97170,-74.06508,,39.5,14,4.8,14,13,2500.00,0.00
Far Niente,Sloop,"Greenpoint, NY",1898,Little Beach LSS E 2 mi,39.46284,-74.28336,,35.5,11.5,3.2,8,7.99,800.00,0.00
Favorite (1898),Steamship,"Tompkins Cove, NY",1898,Spermaceti Cove LSS W 1 mi,40.42858,-74.00092,Wood,127.6,30.6,8.2,400,271,15000.00,0.00
Favorite (1910),Motor vessel gas,,1910,Great Egg LSS SW 1.5 mi,39.30013,-74.53671,,0,0,0,7,,1200.00,0.00
Fishing Boat,Fishing boat,,1889,Cape May LSS W .5 mi,38.93316,-74.96904,,0,0,0,0,,0.00,0.00
Five Sisters (1880),Schooner,"Machias, ME",1880,Toms River LSS E,39.93610,-74.07195,,0,0,0,146,,3000.00,8000.00
Flora Curtis,Schooner,"Newtown, MD",1879,Atlantic City LSS SE .75 mi,39.35839,-74.39867,,0,0,0,83,,8000.00,500.00
Florida (1841),Bark,,1841,Brigantine Shoal,39.39024,-74.37054,,0,0,0,0,,0.00,200000.00
Flour Wreck,Freighter,,1938,Atlantic City E 9.5 mi,39.35333,-74.21500,,0,0,0,0,,0.00,0.00
Fly,Schooner armed,,1778,Delaware River,38.94305,-75.04987,,0,0,0,0,,0.00,0.00
Flyng Scud,Sloop,"Brooklyn, NY",1900,Atlantic City LSS N 1.5 mi,39.38041,-74.39529,,58,14.7,4.3,17,9,1200.00,0.00
Fort Victoria,Passenger liner,,1929,Ambrose Lightship E,40.47638,-73.88611,Steel,411.7,56.7,34.1,7784,4532,0.00,0.00
Fortuna (1910),Bark,"Hamburg, Germany",1910,Ship Bottom LSS NE .5 m,39.64321,-74.17691,Iron,185,33.1,20.1,924,,8000.00,0.00
Forty Foot,Fishing boat,,1955,Great Egg Inlet E 9000 yds,39.28167,-74.43333,,40,0,0,0,,0.00,0.00
Francis (1897),Yarder 3 skysail,"Bath, ME",1897,Little Egg LSS SE 2 mi,39.49027,-74.25694,Wood,231,43.4,26.6,2077,1973.53,50000.00,250000.00
Francis (1950),Sailing ship,,1950,Brant Beach,39.62489,-74.18884,,0,0,0,0,,0.00,0.00
Francis J Campbell,Sloop / unrigged,"Staten Island, NY",1894,Corsons Inlet LSS SW 1.5 mi,39.20006,-74.65133,Wood,36,14.8,3.7,11.72,11.14,400.00,100.00
Freighter,Freighter,,1918,Sea Girt E 6 mi,40.13361,-73.89444,,0,0,0,0,,0.00,0.00
Garnet,Schooner,,1841,,39.75000,-70.20000,,0,0,0,0,,0.00,0.00
George Canning,Packet ship,"New York, NY",1832,Absecon Beach,39.35709,-74.40932,,131,30.6,13.3,551,,0.00,0.00
George Kilburn,Schooner,"Mt Desert, ME",1878,Long Beach LSS N 1 mi,39.39452,-74.21149,,0,0,0,142,,5000.00,5500.00
George Law (1889),Steamship,,1889,Brigantine Beach Outer bar,39.38772,-74.37603,,0,0,0,0,,0.00,0.00
George Lewmon,Schooner,"Onancock, VA",1883,Deal LSS N .25 mi,40.23121,-73.99625,,73,22,5,49,46.66,6000.00,570.00
George T Thorne,Schooner 3 masted,"Philadelphia, PA",1868,Pecks Beach,39.24357,-74.60430,,0,0,0,301,,0.00,0.00
George Taulane,Schooner,,1880,Squan Beach LSS,40.11444,-74.02861,Wood,0,0,0,235.37,,8000.00,600.00
Georgia,Sailing ship,"Boston, MA",1852,Bonds LSS,39.53833,-74.24444,Wood,0,0,0,0,,0.00,0.00
Georgiana (1886),Schooner,,1886,Atlantic City LSS S 1 mi,39.35548,-74.42566,,34,12,4,11.85,11.26,1000.00,0.00
Georgie Berry,Schooner,"Westbrook, ME",1902,Holly Beach LSS SE 3 mi,38.93267,-74.80283,Wood,109.3,27.4,11.3,265,251,3000.00,4000.00
Germania,Bark,"Baltimore, MD",1889,Long Branch LSS N .75 mi,40.28828,-73.97920,Wood,154.5,33.9,21.4,0,817,10000.00,17000.00
Glen II,Tug,,1953,Sandy Hook,40.45514,-73.94222,,83,0,0,68,,0.00,0.00
Golden Light,Sloop,,1885,Great Egg Harbor S 1 mi,39.28246,-74.54180,Wood,45.5,16,4.3,16,15.2,0.00,0.00
Governor Bull,Brig,"Newport, RI",1861,Squan Inlet S 3 mi,40.05858,-74.04139,Wood,0,0,0,270,,0.00,0.00
Great Isaac,Tug,"East Boston, MA",1947,Barnegat Light S 8 mi,39.62638,-73.94250,Steel,185.5,37.6,17.8,1117,251,0.00,0.00
Great Lakes No 78,Scow,"Albany, NY",1937,Scotland Lightship SE 4 mi,40.42666,-73.85166,Wood,156,40.8,13.5,681,,0.00,0.00
Great Lakes No 81,Barge,,1936,Sandy Hook E 4 mi,40.45277,-73.92222,,0,0,0,0,,0.00,0.00
Guadaloupe,Steamship,"Chester, PA",1884,Barnegat Inlet North side,39.76524,-74.08888,,317.8,39.5,21.4,2839,,325000.00,60000.00
Guatamazon,Ship,,1810,Townsends Inlet,39.11863,-74.70732,,0,0,0,0,,50000.00,0.00
GulfTrade (1942),Tanker,"Chester, PA",1942,Barnegat Inlet SE 3.5 mi,39.82888,-73.83277,Steel,429.3,59.2,31.4,6676,4223,0.00,0.00
Gustavus A Muller,Sloop,"Atlantic City, NJ",1906,Little Egg LSS S 1 mi,39.49710,-74.30504,,44.5,16,5.6,21,14,3000.00,300.00
Gypsum Prince,Freighter,"Haverton, England",1942,"Lewes, DE",38.81158,-75.15892,,0,0,0,0,,0.00,0.00
Hampshire,Schooner - Barge,"Bath, ME",1918,Five Fathoms Bank Lightship E 3.5 mi,38.81922,-74.52222,,0,0,0,0,,0.00,0.00
Hannie Westbrook,Schooner,"Westbrook, ME",1877,Stone Harbor LSS N .5 mi,39.04778,-74.75795,Wood,0,0,0,139,,4500.00,3800.00
Harriet Wiggins,Schooner,,1866,Corsons Inlet,39.19705,-74.64752,,0,0,0,0,,0.00,0.00
Harry K Fooks,Motor vessel diesel,,1941,"Rehoboth Beach, DE E 4 mi",38.71000,-74.99666,,0,0,0,0,,0.00,0.00
Harry Rush,Barge,"Noank, CT",1943,Barnegat Inlet E 9 mi,39.72777,-73.94583,,193.2,35,17.6,956,,0.00,0.00
Harry Waddington,Schooner,,1892,,36.16666,-73.40000,,0,0,0,0,,0.00,0.00
Hastings,Transport,,1776,Brigantine Shoal E 2 mi,39.38889,-74.31867,,0,0,0,0,,0.00,0.00
Hatfield,Bark,,1881,Brigantine Inlet,39.43333,-74.30833,,0,0,0,0,,0.00,0.00
Hattie Baker,Schooner,"Boston, MA",1889,Little Beach LSS SE 1.5 mi,39.43937,-74.30704,,116,30,9,346,328.42,6000.00,3000.00
Hattie W Mills,Sloop,"Cape May, NJ",1891,Hereford Inlet LSS N .5 mi,39.01302,-74.79192,,42.7,15.4,4.3,14,13.42,1000.00,0.00
Hazard,Brig,,1862,Squan Inlet,40.09846,-74.02114,,0,0,0,0,,0.00,0.00
Helen J Seitz,Steamer 5 masted,"Camden, ME",1907,Long Beach LSS NE 1 mi,39.59375,-74.20690,,281.6,48.4,23,2547,2249,100000.00,20000.00
Henlopen,Barge,"Wilmington, DE",1936,Margate City SE 9.2 mi,39.21666,-74.36666,Wood,205.6,32,12.6,765,740,17500.00,0.00
Henry D Brewster,Schooner,"Bay Shore, NY",1886,Monmouth Beach LSS S 2 mi,40.31311,-73.97571,,71,20,5.3,42,,4000.00,1000.00
Henry Finch,Schooner,"Poughkeepsie, NY",1897,Harvey Cedars LSS NNE 1 mi,39.68514,-74.13000,Wood,111.6,30.6,9.6,208.52,198.1,0.00,0.00
Henry Grattan,Sailing ship,,1834,Little Egg Harbor,39.37166,-74.24444,Wood,0,0,0,0,,0.00,0.00
Henry Hobart,Schooner 3 masted,,1872,Pecks Beach,39.24733,-74.60315,,0,0,0,291,252,0.00,0.00
Henry May,Schooner,"Milford, DE",1897,Ocean City LSS E 3 mi,39.28036,-74.50537,,101.7,27.2,9,188.91,179.46,3000.00,1200.00
Herbert Parker,Motor vessel,"Essex, MA",1932,Ship Bottom E 57 mi,39.63333,-73.05000,Wood,105.3,25.2,11.4,137,93,0.00,0.00
Hermaline,Fishing boat diesel,"Fernandina, FL",1966,Cold Spring Harbor,38.93277,-74.85861,,0,0,0,0,,0.00,0.00
Hildur Mabel,Schooner,"Greenwich, NJ",1914,Barnegat LSS NNE 1.25 mi,39.77198,-74.08670,,52,16.5,5,19,14,6000.00,300.00
Homeward Bound,Bark,"Bucksport, ME",1879,Wreck Pond LSS N 1 mi,40.16952,-74.01503,,132,30,18.5,561,,7000.00,0.00
Hornet (1883),Schooner,,1883,Cape May LSS E 1 mi,38.93105,-74.94125,,0,0,0,19.45,18.48,1000.00,0.00
Hornet IV,Drillboat,,1962,Little Egg Harbor Inlet,39.42916,-74.23888,,0,0,0,0,,0.00,0.00
Hulda,Bark,,1871,Seven Mile Beach,39.06666,-74.73333,,0,0,0,0,,0.00,0.00
Huron (1866),Brig,"St John, NB",1866,Great Egg Harbor S 2 mi,39.26936,-74.58241,Wood,116,28.6,12.8,370,,0.00,0.00
Hvoslef,Freighter,"Newcastle, England",1942,"Indian River Inlet, DE",38.48203,-74.74056,,0,0,0,0,,0.00,0.00
Hylton Castle,Freighter steam,"Sunderland, England",1886,Fire Island Light SE 11 mi,40.53500,-73.08944,Steel,251,32.2,0,1295,795,0.00,0.00
Idaho (1865),Steamship,"Mystic, CT",1865,Barnegat Inlet N 1 mi,39.77291,-74.09511,,0,0,0,522,,0.00,0.00
Imperatrice Elisabetta,Bark,,1866,Long Beach Island,39.60037,-74.20659,Wood,0,0,0,0,,0.00,0.00
India Arrow,Tanker steam,"Quincy, MA",1942,Five Fathom Bank E 15 mi,38.55833,-73.83500,,0,0,0,0,,0.00,0.00
Indian River Barge,Barge,,1952,Avalon SE 4 mi stand pipe,39.04027,-74.66694,,40,20,0,0,,0.00,0.00
Intrepid,Schooner,,1846,Seven Mile Beach,39.05931,-74.74205,,0,0,0,0,,0.00,0.00
Ioannis P Goulandris,Freighter,"Stockton, England",1942,Ambrose Lightship E 10 mi,40.26500,-73.79388,,362.3,51,21,3750,2223,0.00,0.00
IOU 1971,Cabin cruiser,,1951,Barnegat Inlet Shoal,39.75699,-74.09179,,0,0,0,0,,0.00,0.00
Irene,Schooner - Barge,"Bath, ME",1934,Barnegat Light,39.89388,-73.92833,,0,0,0,0,,0.00,0.00
Irma-Pauline,Motor vessel diesel,"Cape May, NJ",1951,Cape May Inlet East jetty,38.93277,-74.85861,,0,0,0,0,,0.00,0.00
Isabel B Wiley,Schooner 3 masted,"Bath, ME",1918,Barnegat E 70 mi,39.01833,-73.11666,,160.3,37.3,17.3,776,611,100000.00,0.00
Italia,Bark,"Lerici, Italy",1879,Deal Beach,40.22792,-73.99059,Wood,183,35,23,0,625,35000.00,0.00
J & H Scull (1892),Schooner,"English Creek, NJ",1892,Great Egg Harbor bar,39.28944,-74.53934,Wood,87,28.3,6.2,111.21,106,8000.00,1000.00
J G Conner (A),Schooner,"Smith Landing, NJ",1884,Little Egg LSS SW .5 mi,39.50677,-74.31894,,0,0,0,25.76,24.48,1500.00,525.00
J R Williams,Barge,,1949,,38.75388,-74.89958,,0,0,0,0,,0.00,0.00
J W Luce,Sloop,"New London, CT",1889,Absecon Inlet,39.37175,-74.40549,,0,0,0,0,,0.00,0.00
J W Wendt,Ship,"St John, NB",1869,Forked River NE .75 mi,39.81406,-74.08838,,0,0,0,0,,0.00,0.00
Jacob Duryea,Schooner,"Brookhaven, NY",1892,Cape May LSS NW .5 m,38.93442,-74.96931,,65.2,25.3,6.4,59,56,2000.00,450.00
Jacob Jones (1942),Destroyer,"Camden, NJ",1942,Cape May,38.61666,-74.53333,Steel,314,30.5,8.9,1150,,0.00,0.00
Jacob M Haskell,Schooner,"Rockland, ME",1918,Barnegat Light SE 50 mi,39.60000,-73.02500,Wood,226.8,42,20.5,1778,1362,0.00,0.00
James B Johnson,Schooner,"Nacote Creek, Galloway, NJ",1890,Forked River LSS S .5 m,39.79621,-74.09057,Wood,91.9,27.3,8.2,147.82,140.43,4500.00,1600.00
James C Fisher,Schooner,,1852,Seven Mile Beach,39.05412,-74.74806,,0,0,0,0,,0.00,0.00
James Emott,Schooner,,1840,Seven Mile Beach,39.08117,-74.72488,,0,0,0,0,,0.00,0.00
James Gordon Bennett #9 (1893),Pilot schooner,"Brooklyn, NY",1893,Sea Girt LSS N .5 mi,40.16249,-74.01749,Wood,75,21,7.5,54.3,51.59,12000.00,0.00
James Longstreet,Freighter Liberty,"Houston, TX",1943,Sandy Hook,40.45352,-73.97991,Steel,442,56.8,27.9,7176,,0.00,0.00
James M Hall (1906),Schooner,"Milford, DE",1906,Long Branch LSS S .5 mi,40.27092,-73.98297,Wood,90.4,27.2,5.5,87,67,2000.00,5500.00
James Nelson,Sloop,,1875,Barnegat Inlet N 1 mi,39.77508,-74.09451,,0,0,0,50,,1000.00,0.00
James Turpie,Steamship,"Newcastle, England",1899,Brigantine Shoal,39.37990,-74.39054,Iron,270.8,34.7,23,1732,,50000.00,100000.00
Jersey Belle,Cruiser steam,,1920,Wildwood E 2 mi,38.96833,-74.78583,,0,0,0,0,,0.00,0.00
Jesse W Starr,Schooner,,1906,,37.55000,-74.60000,,0,0,0,0,,0.00,0.00
Joan La-Rie III,Charter fishing boat,"Waretown, NJ",1982,Manasquan E 8.5 mi,40.06833,-73.85166,Wood,47,13.5,5.7,29,19,0.00,0.00
Joe Hooker (1887),Schooner,,1887,,40.78333,-67.75000,,0,0,0,0,,0.00,0.00
Johanna Lang,Bark,,1867,Pecks Beach,39.24716,-74.60800,,0,0,0,0,,0.00,0.00
John A Hill,Steamship,,1903,,33.33333,-74.50000,,0,0,0,0,,0.00,0.00
John A McKie,Schooner,"Philadelphia, PA",1899,Ship Bottom LSS N 1.5 mi,39.65454,-74.16827,Wood,111.4,29.6,8.5,223,183,4000.00,6000.00
John H Winstead,Schooner - Barge,"Baltimore, MD",1927,Sea Girt Light E 4 mi,40.13787,-73.95078,Wood,214.5,36.1,16.2,1160,1120,0.00,0.00
John K Shaw,Schooner,"City Island, NY",1884,Deal Beach E 4 mii,40.26932,-73.90805,Wood,134.5,33.7,11.4,379,,3000.00,2500.00
John L Martino,Schooner 3 masted,"Phillipsburg, ME",1928,Ocean City E 14 mi,39.16528,-74.30333,Wood,126.7,30.4,8.2,257,213,0.00,0.00
John Marvin,Clam boat,"Camden, NJ",1992,Atlantic City E 13 mi,39.36862,-74.16389,Steel,140.5,22.7,8.4,227,148,600000.00,0.00
John Minturn,Packet Square Rigger,"Westerly, RI",1846,Squan Beach,40.02333,-74.05000,Wood,119,27.2,0,500,398,0.00,84000.00
John Morgan,Freighter Liberty,"Baltimore, MD",1943,"Cape Henry, VA",36.99888,-75.39972,,0,0,0,0,,0.00,0.00
John R Bergen,Schooner,,1906,,36.00000,-73.50000,,0,0,0,0,,0.00,0.00
John R Williams,Tug,"Port Richmond, NY",1942,Cape May,38.75000,-74.91666,,0,0,0,0,,0.00,0.00
John Silliman,Schooner,,1859,Corsons Inlet,39.20713,-74.64427,,0,0,0,0,,0.00,0.00
John T Long,Schooner,"Frankford, DE",1886,Seabright LSS N 1.25 mi,40.39610,-73.96237,,54.4,20,4.2,33.08,31.48,800.00,0.00
John Taylor,Steamship,,1884,Cape May LSS NW 1.5 mi,38.94962,-74.96988,,0,0,0,32.29,19.73,1000.00,0.00
John Thompson,Schooner,,1868,Hereford Inlet,39.02514,-74.78728,,0,0,0,0,,0.00,0.00
Jonesport,Barge,,1937,,38.29250,-75.00000,,0,0,0,0,,0.00,0.00
Joseph Banigan,Brig,"Carnarvon, Wales",1891,Long Branch LSS N .25 mi,40.28153,-73.98169,Wood,97.2,24.4,12.3,200,177,7500.00,4500.00
Joseph E Hooper,Schooner - Barge,,1945,Fenwick Island SE 1.5 mi,38.46638,-74.98055,,0,0,0,0,,0.00,0.00
Joseph W Pharo,Schooner,"Tuckerton, NJ",1856,Cape May Beach,38.92972,-74.91666,,0,0,0,0,,0.00,0.00
Josephine (1840),Schooner,,1840,Two Mile Beach,38.95500,-74.85000,,0,0,0,0,,0.00,0.00
Josie R Burt,Schooner,"Bath, ME",1911,Bonds LSS NE 25 mi,39.53661,-74.25481,,167.8,35.3,15.2,760,722,12000.00,2000.00
Judge Baker (1855),Schooner,,1855,Squan Inlet S 1 mi,40.08726,-74.03626,,0,0,0,0,,0.00,0.00
Julia (1870),Schooner,,1870,Seabright LSS,40.38059,-73.97409,,0,0,0,0,,0.00,0.00
Julia (1884),Brig,,1884,Brigantine S 7th St,39.40139,-74.36453,,0,0,0,0,,0.00,0.00
Juno (1802),Frigate,,1802,Cape May E 20 mi,38.87472,-74.41666,,0,0,0,0,,0.00,0.00
Kate Foster,Schooner,"Cherryfield, ME",1891,New Jersey coast,39.40000,-73.08333,Wood,93.8,26.2,8,159,,0.00,0.00
Kate Markee,Schooner,"Bath, ME",1890,Spermaceti Cove LSS S 1.5 mi,40.40629,-73.97646,,142.8,34.2,14.8,503.77,478.58,12000.00,28000.00
Kate Newman,Schooner,"Tremont, ME",1880,Monmouth Beach E 2 mi,40.42500,-73.96666,,97,27.6,8,146,,0.00,0.00
Katherine & Mary,Scow,"Milwaukee, WI",1955,NJ Coast E 35 mi,39.55981,-73.58123,,0,0,0,0,,0.00,0.00
Katie C Rich,Schooner,,1874,Brigantine Shoal,39.41923,-74.33965,,0,0,0,425,,0.00,0.00
Katie G Robinson,Schooner,"Mays Landing, NJ",1894,Absecon Inlet South bar,39.35701,-74.40213,,116.4,29.6,9.3,299.4,284.43,4000.00,1000.00
Kehuka,Tanker,,1920,Avalon E 3 mi,39.07333,-74.66500,,0,0,0,0,,0.00,0.00
Kelso,Motor vessel diesel,"Damariscotta, ME",1968,Hereford Inlet,38.98472,-74.76916,,0,0,0,0,,0.00,0.00
Kennebec (1921),Steamship,"Port Huron, MI",1921,Barnegat Light E 30 mi,39.43333,-73.53747,Steel,243.5,43.2,24,2183,1913,0.00,0.00
Kirkwood,Bark,,1851,Brigantine,39.40833,-74.35000,,0,0,0,0,,0.00,0.00
Kong Thryme,Brig,,1856,Barnegat Inlet Shoal,39.75858,-74.08149,,0,0,0,0,,0.00,0.00
Kristine M,Trawler,"Atlantic City, NJ",1950,Atlantic City E 12 mi,39.15833,-74.36666,,52.2,16.2,7.6,42,,0.00,0.00
L and A Babcock (1884),Schooner,"Absecon, NJ",1884,Forked River LSS N 1 mi,39.81826,-74.08826,Wood,118,31,10,255,,8000.00,2000.00
L C Wallace (1882),Sloop,,1882,Atlantic City LSS NE .75 mi,39.37086,-74.40332,,0,0,0,16.61,,1000.00,25.00
L Q C Wishart,Schooner,"Greenwich, CT",1910,Little Beach LSS SE 2.5 mi,39.34369,-74.29659,Wood,115.2,29.5,9.1,238,195,4000.00,2000.00
Lady Ellen (1872),Schooner,,1872,Great Egg Harbor,39.29402,-74.53771,,0,0,0,0,,0.00,0.00
Lady Gertrude,Commercial Fishing Vessel,,2016,Chicken Canyon Toms River E 54 mi,39.87333,-74.05833,Steel,78,22,10.3,119,81,0.00,0.00
Lana Carol,Scalloper,"Pascagoula, MS",1976,Manasquan E 10 mi,39.99194,-73.87444,Steel,71.7,21,11.1,104,70,0.00,0.00
Larnie B Shaw (1939),Barge,"Noank, CT",1939,Cape May Inlet E 22 mi,38.91500,-74.38333,,0,0,0,0,,0.00,0.00
Last Stand,Scallop boat,"Chatham, MA",2016,Cape May SE 6 mi,38.87176,-74.81594,Fiberglass,42,13.7,6.1,13,9,0.00,0.00
Lawrence (1863),Bark,"East Boston, MA",1863,Pecks Beach,39.25022,-74.60306,Wood,0,0,14,479,,0.00,0.00
Lawrence N McKenzie,Schooner,"Essex, MA",1890,Cedar Creek LSS S 1 mi,39.83845,-74.08671,Wood,98.2,24.4,9.5,154,,9000.00,2000.00
LCH-269,Large Landing Craft,"Barber, NJ",1962,"ICW Atlantic City, NJ",39.37632,-74.45894,Steel,158.5,23.3,5.4,0,,0.00,0.00
Lemuel Burrows,Freighter steam,"Camden, NJ",1942,Atlantic City E 5 mi,39.30667,-74.26750,,437.2,63.7,33.7,7610,4787,0.00,0.00
Leon Walter,Fishing boat,"St Augustine, FL",1964,Manasquan Inlet E 8 mi,40.11166,-73.95055,Iron,67.7,18.9,7.9,75,33,0.00,0.00
Liburno,Ship,,1863,Squan Inlet N 3.5 mi,40.20000,-73.95000,Wood,0,0,0,0,,0.00,0.00
Lidie,Schooner,,1876,At sea,38.33333,-73.00000,Wood,0,0,0,46.45,,3000.00,300.00
Light Boat,Schooner,"Frankfort, ME",1880,Long Branch N 1 mi,40.29898,-73.97519,Wood,81,22,10.9,114,,2500.00,4000.00
Lillian,Freighter steam,"Wilmington, DE",1939,Barnegat Lightship E 18 mi,40.02500,-73.52777,Steel,327.1,46,25.5,3482,2112,0.00,0.00
Lillian Cameron,Brig,,1876,Squan Inlet S 5 mi,40.03067,-74.05035,,0,0,0,199,,10000.00,6000.00
Linda Snow II,Fishing boat diesel,"St Augustine, FL",1978,Great Egg Harbor Inlet  E 3 mi,39.23333,-74.56666,Wood,65.9,18.2,8.3,74,39,0.00,0.00
Lizzie Florence,Schooner,,1883,Gulf Stream,32.66666,-73.50000,,0,0,0,0,,0.00,0.00
Lizzie H Brayton,Schooner,"Bath, ME",1904,Bay Head LSS N 1.5 mi,40.08721,-74.03727,Wood,201,40.1,16,1126,979,40000.00,4500.00
Lizzie M Parsons,Schooner,"Bath, ME",1925,Brigantine Beach,39.39489,-74.37234,Wood,171.9,35.3,13.3,655,571,0.00,0.00
Llewelynn,Sloop,,1886,Island Beach LSS W 1.5 mi,39.89460,-74.10890,,0,0,0,0,,200.00,25.00
London Corporation,Steam Freighter,"Hartlepool, England",1935,Philadelphia Harbor,39.95177,-75.13696,Steel,426,55.1,36.3,6630,,0.00,0.00
Lotty,Bark,,1846,Squan Inlet N 8 mi,40.21482,-73.99727,,0,0,0,0,,0.00,0.00
Louisa (1843),Schooner,,1843,Sandy Hook point,40.48269,-74.01215,,0,0,0,0,,0.00,0.00
Lulle L Pollard,Schooner,,1908,,35.50000,-74.16666,,0,0,0,0,,0.00,0.00
Lurena Reed,Schooner,"Somers Point, NJ",1894,Ocean City LSS E .3 mi,39.27996,-74.55327,,48.5,18.1,5.7,28,26.78,800.00,200.00
Magdalena,Bark,"Madison, CT",1876,Island Beach LSS N .5 mi,39.90158,-74.07800,,106.7,28,10.8,259,,20000.00,45000.00
Maggie Cain,Schooner,,1895,,36.43333,-74.43333,,0,0,0,0,,0.00,0.00
Maggie Ellen,Schooner 3 masted,"Cape Elizabeth, ME",1882,Atlantic City LSS ENE 5 mi,39.38744,-74.32432,,110,28.8,8.6,217.44,206.57,8000.00,1800.00
Maggie P Smith,Schooner,"Camden, NJ",1892,Mantaloking LSS S .75 mi,40.01723,-74.05259,Wood,104,26.7,8.8,190.97,181.42,3200.00,1800.00
Magnolia (1893),Schooner - Barge,"Portsmouth, VA",1893,Forked River LSS S .75 mi,39.79331,-74.09143,Wood,140.2,23.8,12,277.4,263.53,8000.00,4000.00
Magnus,Brig,,1877,Loveladies LSS S .75 mi,39.72546,-74.12074,Wood,0,0,0,280,,7250.00,33000.00
Maiden Creek,Freighter steam,"Hog Island, PA",1942,"Block Island, RI E 70 mi",40.16509,-70.21113,Steel,390,54.2,27.6,5031,3078,0.00,0.00
Malay,Schooner,,1858,Barnegat Inlet,39.76221,-74.09033,,0,0,0,0,,0.00,0.00
Malden,Freighter,"Quincy, MA",1921,Montauk Point E 10 mi,41.09666,-71.87277,,0,0,0,0,,0.00,0.00
Malle Varre II,Schooner - yacht,"Bath, ME",1961,Beach Haven Center St,39.56218,-74.23533,Wood,58.6,12.2,7.5,20,14,0.00,0.00
Malta,Schooner sail & steam,"London, England",1885,Shark River Inlet S .75 mi,40.18194,-73.99820,Iron,243.6,39.3,24.7,1611,1524,50000.00,28000.00
Manantice,Schooner,,1886,Atlantic City E 60 mi,39.16666,-71.95000,Wood,0,0,0,90,,4500.00,1200.00
Manhattan (1854),Schooner,,1854,Surf City,39.65395,-74.16880,Wood,0,0,0,0,,0.00,0.00
Manhattan (1889),Passenger cargo ship,"Chester, PA",1889,Fenwick Island Lightship NE 8 mi,38.45445,-74.90112,,0,0,0,0,,0.00,0.00
Margaret and Elizabeth,Schooner,,1847,Brigantine Beach,39.38421,-74.38213,,0,0,0,0,,0.00,0.00
Margaret and Lucy,Schooner,"Noank, CT",1877,Toms River N .5 mi,39.93483,-74.05412,,0,0,10,463,,16000.00,20000.00
Maria (1855),Brig,,1855,Absecon Beach,39.35074,-74.42509,,0,0,0,0,,0.00,0.00
